"NAME10","NAMELSAD10","Evap_tavg","Qs_tavg","Rainf_f_tavg","Tair_f_tavg","file"
"Accomack","Accomack County",1.55245611908454e-05,5.07866074754433e-06,3.78149064393559e-05,274.903933207194,"201001.nc4"
"Portsmouth","Portsmouth city",NA,NA,NA,NA,"201002.nc4"
"Surry","Surry County",2.02832609375037e-05,1.1152824185956e-05,3.3143900509458e-05,273.736347198486,"201002.nc4"
"Hampton","Hampton city",5.23914627592603e-06,1.4453931726166e-05,3.4660481105675e-05,274.526611328125,"201002.nc4"
"Mathews","Mathews County",2.50017201324226e-05,1.06185261756764e-05,3.42484891007189e-05,273.992095947266,"201002.nc4"
"Gloucester","Gloucester County",2.31774870371737e-05,1.10293918851312e-05,3.31580506554019e-05,273.738502502441,"201002.nc4"
"Virginia Beach","Virginia Beach city",NA,NA,NA,NA,"201002.nc4"
"Isle of Wight","Isle of Wight County",1.63560895970249e-05,1.05183213216502e-05,2.82542090038384e-05,274.175994873047,"201002.nc4"
"Chesapeake","Chesapeake city",NA,NA,NA,NA,"201002.nc4"
"Newport News","Newport News city",6.47994102109806e-06,1.14420381578384e-05,2.86380673060194e-05,274.147064208984,"201002.nc4"
"James City","James City County",2.16613789234543e-05,1.11960453068605e-05,3.36202710968792e-05,273.566741943359,"201002.nc4"
"Suffolk","Suffolk city",2.29851957556093e-05,1.35634963953635e-05,3.59408259100746e-05,274.459411621094,"201002.nc4"
"Poquoson","Poquoson city",NA,NA,3.75389354303479e-05,274.482818603516,"201002.nc4"
"Norfolk","Norfolk city",NA,NA,0,274.864532470703,"201002.nc4"
"York","York County",2.29418041271856e-05,1.26935152366059e-05,3.53921204805374e-05,273.862585449219,"201002.nc4"
"Williamsburg","Williamsburg city",2.23141554063962e-05,1.30904545585508e-05,3.5508994187694e-05,273.673024495443,"201002.nc4"
"Hanover","Hanover County",1.72300089096617e-05,7.12691501446118e-06,3.08731253296303e-05,272.494345528739,"201002.nc4"
"Powhatan","Powhatan County",NA,NA,NA,NA,"201002.nc4"
"King and Queen","King and Queen County",1.9156120970365e-05,7.22779975603771e-06,3.1416236424775e-05,272.772811889648,"201002.nc4"
"Petersburg","Petersburg city",1.72129675775068e-05,8.32445562082285e-06,3.39343841915252e-05,273.123359680176,"201002.nc4"
"Henrico","Henrico County",1.45310973493906e-05,9.08884862838022e-06,3.07852910736983e-05,272.668785095215,"201002.nc4"
"King William","King William County",1.86682093499257e-05,7.11087108129504e-06,3.18841409807646e-05,272.72248840332,"201002.nc4"
"Chesterfield","Chesterfield County",1.68105434568133e-05,8.95217556262651e-06,3.27839898091042e-05,272.907012939453,"201002.nc4"
"Richmond","Richmond city",1.11599747469882e-05,9.71638291957788e-06,2.83080644294387e-05,272.530822753906,"201002.nc4"
"Cumberland","Cumberland County",NA,NA,NA,NA,"201002.nc4"
"Colonial Heights","Colonial Heights city",1.41745576911489e-05,1.04515947896289e-05,3.38417376042344e-05,273.096862792969,"201002.nc4"
"Goochland","Goochland County",NA,NA,NA,NA,"201002.nc4"
"Caroline","Caroline County",1.6044552402101e-05,5.80552026414287e-06,3.34480662006951e-05,272.033896309989,"201002.nc4"
"Sussex","Sussex County",1.95525843764699e-05,7.49212694017842e-06,3.19532318826532e-05,273.622787475586,"201002.nc4"
"Prince George","Prince George County",1.90324392406183e-05,7.56858520389869e-06,3.35999761773564e-05,273.305725097656,"201002.nc4"
"Dinwiddie","Dinwiddie County",2.01058746824856e-05,5.97855296291527e-06,3.36911798513029e-05,273.21142578125,"201002.nc4"
"Louisa","Louisa County",NA,NA,NA,NA,"201002.nc4"
"Charles City","Charles City County",2.01281418412691e-05,8.3287047042783e-06,3.32844053142859e-05,273.264022827148,"201002.nc4"
"New Kent","New Kent County",2.00145939743379e-05,7.6600995271292e-06,3.21730607538484e-05,273.044329833984,"201002.nc4"
"Amelia","Amelia County",NA,NA,NA,NA,"201002.nc4"
"Hopewell","Hopewell city",1.74461729329778e-05,8.07866069862939e-06,3.30694438162027e-05,273.157699584961,"201002.nc4"
"Winchester","Winchester city",NA,NA,NA,NA,"201002.nc4"
"Frederick","Frederick County",NA,NA,NA,NA,"201002.nc4"
"Culpeper","Culpeper County",NA,NA,NA,NA,"201002.nc4"
"Tazewell","Tazewell County",NA,NA,NA,NA,"201002.nc4"
"Rockingham","Rockingham County",NA,NA,NA,NA,"201002.nc4"
"Harrisonburg","Harrisonburg city",NA,NA,NA,NA,"201002.nc4"
"Charlottesville","Charlottesville city",NA,NA,NA,NA,"201002.nc4"
"Fluvanna","Fluvanna County",NA,NA,NA,NA,"201002.nc4"
"Greene","Greene County",NA,NA,NA,NA,"201002.nc4"
"Nelson","Nelson County",NA,NA,NA,NA,"201002.nc4"
"Albemarle","Albemarle County",NA,NA,NA,NA,"201002.nc4"
"Danville","Danville city",NA,NA,NA,NA,"201002.nc4"
"Pittsylvania","Pittsylvania County",NA,NA,NA,NA,"201002.nc4"
"Martinsville","Martinsville city",NA,NA,NA,NA,"201002.nc4"
"Henry","Henry County",NA,NA,NA,NA,"201002.nc4"
"Bristol","Bristol city",NA,NA,NA,NA,"201002.nc4"
"Washington","Washington County",NA,NA,NA,NA,"201002.nc4"
"Scott","Scott County",NA,NA,NA,NA,"201002.nc4"
"Waynesboro","Waynesboro city",NA,NA,NA,NA,"201002.nc4"
"Staunton","Staunton city",NA,NA,NA,NA,"201002.nc4"
"Augusta","Augusta County",NA,NA,NA,NA,"201002.nc4"
"Clarke","Clarke County",NA,NA,NA,NA,"201002.nc4"
"Fredericksburg","Fredericksburg city",1.61093612405239e-05,3.35938796069968e-06,3.3382424589945e-05,271.83137512207,"201002.nc4"
"Stafford","Stafford County",1.70148705365136e-05,2.40691722410702e-06,3.29427421092987e-05,271.677307128906,"201002.nc4"
"Alexandria","Alexandria city",1.61636262419051e-05,3.83567765993575e-06,3.07439131574938e-05,271.46378326416,"201002.nc4"
"Loudoun","Loudoun County",1.67618615402413e-05,4.63791798210877e-06,3.26257116588143e-05,271.062164306641,"201002.nc4"
"Warren","Warren County",NA,NA,NA,NA,"201002.nc4"
"Fauquier","Fauquier County",NA,NA,NA,NA,"201002.nc4"
"Falls Church","Falls Church city",1.47092550832895e-05,4.05235778089263e-06,2.86260838038288e-05,271.164306640625,"201002.nc4"
"Prince William","Prince William County",1.56995970428397e-05,3.44625820503097e-06,3.17606009048177e-05,271.46231842041,"201002.nc4"
"Spotsylvania","Spotsylvania County",1.63450386025943e-05,3.89727665606188e-06,3.32717463606969e-05,271.886932373047,"201002.nc4"
"Manassas Park","Manassas Park city",1.86391680472298e-05,8.73793169375858e-07,2.69526335614501e-05,271.318664550781,"201002.nc4"
"Fairfax","Fairfax County",1.60069283386595e-05,3.96077254549709e-06,3.12783716556927e-05,271.234685262044,"201002.nc4"
"Fairfax","Fairfax city",1.48991289279365e-05,4.5718170440523e-06,3.10088144033216e-05,270.980377197266,"201002.nc4"
"Manassas","Manassas city",1.86391680472298e-05,8.73793169375858e-07,2.69526335614501e-05,271.318664550781,"201002.nc4"
"Arlington","Arlington County",1.53773835336324e-05,3.72878798771126e-06,2.85824280581437e-05,271.547515869141,"201002.nc4"
"Appomattox","Appomattox County",NA,NA,NA,NA,"201002.nc4"
"Bedford","Bedford County",NA,NA,NA,NA,"201002.nc4"
"Campbell","Campbell County",NA,NA,NA,NA,"201002.nc4"
"Lynchburg","Lynchburg city",NA,NA,NA,NA,"201002.nc4"
"Amherst","Amherst County",NA,NA,NA,NA,"201002.nc4"
"Bedford","Bedford city",NA,NA,NA,NA,"201002.nc4"
"Salem","Salem city",NA,NA,NA,NA,"201002.nc4"
"Franklin","Franklin County",NA,NA,NA,NA,"201002.nc4"
"Botetourt","Botetourt County",NA,NA,NA,NA,"201002.nc4"
"Roanoke","Roanoke County",NA,NA,NA,NA,"201002.nc4"
"Craig","Craig County",NA,NA,NA,NA,"201002.nc4"
"Roanoke","Roanoke city",NA,NA,NA,NA,"201002.nc4"
"Radford","Radford city",NA,NA,NA,NA,"201002.nc4"
"Giles","Giles County",NA,NA,NA,NA,"201002.nc4"
"Pulaski","Pulaski County",NA,NA,NA,NA,"201002.nc4"
"Montgomery","Montgomery County",NA,NA,NA,NA,"201002.nc4"
"Galax","Galax city",NA,NA,NA,NA,"201002.nc4"
"Lancaster","Lancaster County",2.30208685631321e-05,9.0201095493588e-06,3.04283530567773e-05,273.526924133301,"201002.nc4"
"Buena Vista","Buena Vista city",NA,NA,NA,NA,"201002.nc4"
"Smyth","Smyth County",NA,NA,NA,NA,"201002.nc4"
"Southampton","Southampton County",2.03721301659243e-05,1.00493222513857e-05,3.16371770168189e-05,273.861195882161,"201002.nc4"
"Mecklenburg","Mecklenburg County",NA,NA,NA,NA,"201002.nc4"
"Rappahannock","Rappahannock County",NA,NA,NA,NA,"201002.nc4"
"Floyd","Floyd County",NA,NA,NA,NA,"201002.nc4"
"Covington","Covington city",NA,NA,NA,NA,"201002.nc4"
"Shenandoah","Shenandoah County",NA,NA,NA,NA,"201002.nc4"
"Wise","Wise County",NA,NA,NA,NA,"201002.nc4"
"Essex","Essex County",1.71863257492078e-05,7.35711825784944e-06,3.19669940966248e-05,272.51766531808,"201002.nc4"
"Lexington","Lexington city",NA,NA,NA,NA,"201002.nc4"
"Bath","Bath County",NA,NA,NA,NA,"201002.nc4"
"Grayson","Grayson County",NA,NA,NA,NA,"201002.nc4"
"Prince Edward","Prince Edward County",NA,NA,NA,NA,"201002.nc4"
"Greensville","Greensville County",NA,NA,NA,NA,"201002.nc4"
"Madison","Madison County",NA,NA,NA,NA,"201002.nc4"
"Emporia","Emporia city",NA,NA,NA,NA,"201002.nc4"
"Charlotte","Charlotte County",NA,NA,NA,NA,"201002.nc4"
"Buckingham","Buckingham County",NA,NA,NA,NA,"201002.nc4"
"Carroll","Carroll County",NA,NA,NA,NA,"201002.nc4"
"Russell","Russell County",NA,NA,NA,NA,"201002.nc4"
"Halifax","Halifax County",NA,NA,NA,NA,"201002.nc4"
"Middlesex","Middlesex County",2.20916476791899e-05,7.82239169438981e-06,2.97275068987801e-05,273.40308380127,"201002.nc4"
"Alleghany","Alleghany County",NA,NA,NA,NA,"201002.nc4"
"Norton","Norton city",NA,NA,NA,NA,"201002.nc4"
"King George","King George County",1.6991893062368e-05,4.99574275636405e-06,3.41881259373622e-05,272.04029083252,"201002.nc4"
"Westmoreland","Westmoreland County",1.79952582281355e-05,6.83194199761298e-06,2.69506947786017e-05,272.485168457031,"201002.nc4"
"Orange","Orange County",NA,NA,NA,NA,"201002.nc4"
"Patrick","Patrick County",NA,NA,NA,NA,"201002.nc4"
"Nottoway","Nottoway County",NA,NA,NA,NA,"201002.nc4"
"Page","Page County",NA,NA,NA,NA,"201002.nc4"
"Northumberland","Northumberland County",2.20851004996803e-05,9.35692914936226e-06,3.10622195684118e-05,273.278253173828,"201002.nc4"
"Wythe","Wythe County",NA,NA,NA,NA,"201002.nc4"
"Brunswick","Brunswick County",NA,NA,NA,NA,"201002.nc4"
"Richmond","Richmond County",1.96204821674785e-05,8.2079816690696e-06,3.01573834024436e-05,272.80914742606,"201002.nc4"
"Highland","Highland County",NA,NA,NA,NA,"201002.nc4"
"Bland","Bland County",NA,NA,NA,NA,"201002.nc4"
"Lunenburg","Lunenburg County",NA,NA,NA,NA,"201002.nc4"
"Rockbridge","Rockbridge County",NA,NA,NA,NA,"201002.nc4"
"Franklin","Franklin city",NA,NA,NA,NA,"201002.nc4"
"Lee","Lee County",NA,NA,NA,NA,"201002.nc4"
"Buchanan","Buchanan County",NA,NA,NA,NA,"201002.nc4"
"Dickenson","Dickenson County",NA,NA,NA,NA,"201002.nc4"
"Northampton","Northampton County",2.39273947954644e-05,8.35621531223296e-06,3.20109059733416e-05,274.693567911784,"201002.nc4"
"Accomack","Accomack County",2.47207226493629e-05,9.33421134422216e-06,3.72072111834617e-05,274.245208740234,"201002.nc4"
"Portsmouth","Portsmouth city",NA,NA,NA,NA,"201003.nc4"
"Surry","Surry County",3.35017180077557e-05,1.19216614393736e-05,4.94614810122584e-05,282.320682525635,"201003.nc4"
"Hampton","Hampton city",2.55517727509869e-06,2.55253471550532e-05,5.63810717721935e-05,282.262145996094,"201003.nc4"
"Mathews","Mathews County",3.46468623320106e-05,2.08166256925324e-05,6.53219394735061e-05,281.929718017578,"201003.nc4"
"Gloucester","Gloucester County",3.35865961460513e-05,1.90912815014599e-05,6.1670360082644e-05,282.022933959961,"201003.nc4"
"Virginia Beach","Virginia Beach city",NA,NA,NA,NA,"201003.nc4"
"Isle of Wight","Isle of Wight County",2.84118041008696e-05,1.21896130321979e-05,4.66818928543949e-05,282.362319946289,"201003.nc4"
"Chesapeake","Chesapeake city",NA,NA,NA,NA,"201003.nc4"
"Newport News","Newport News city",2.40601207224245e-06,2.22133603529073e-05,5.21766123711132e-05,282.227233886719,"201003.nc4"
"James City","James City County",3.30316706822487e-05,1.40585393637593e-05,5.48644547961885e-05,282.265243530273,"201003.nc4"
"Suffolk","Suffolk city",3.50658410752658e-05,1.71009196492378e-05,5.72516837564763e-05,282.3818359375,"201003.nc4"
"Poquoson","Poquoson city",NA,NA,6.46059634163976e-05,282.203521728516,"201003.nc4"
"Norfolk","Norfolk city",NA,NA,0,282.288543701172,"201003.nc4"
"York","York County",3.43624058587011e-05,1.88767993677175e-05,6.20739898295142e-05,282.158227539063,"201003.nc4"
"Williamsburg","Williamsburg city",3.36393713951111e-05,1.71809466943766e-05,5.91522669613672e-05,282.176595052083,"201003.nc4"
"Hanover","Hanover County",3.0658149626106e-05,1.54307604784013e-05,5.14091963330949e-05,282.073128836496,"201003.nc4"
"Powhatan","Powhatan County",NA,NA,NA,NA,"201003.nc4"
"King and Queen","King and Queen County",2.99689675102854e-05,1.63870402047905e-05,5.32379608557676e-05,281.951110839844,"201003.nc4"
"Petersburg","Petersburg city",2.45016512394614e-05,1.25082560771261e-05,4.45836403741851e-05,282.367012023926,"201003.nc4"
"Henrico","Henrico County",1.69857650575977e-05,1.8721325432125e-05,5.12384549438138e-05,282.180366516113,"201003.nc4"
"King William","King William County",3.01305974517163e-05,1.57127258262335e-05,5.31372893419757e-05,282.058437347412,"201003.nc4"
"Chesterfield","Chesterfield County",2.45235546003642e-05,1.47088733228884e-05,4.82743189422763e-05,282.338249206543,"201003.nc4"
"Richmond","Richmond city",2.18287004827289e-06,2.19378034671536e-05,5.08038683619816e-05,282.173278808594,"201003.nc4"
"Cumberland","Cumberland County",NA,NA,NA,NA,"201003.nc4"
"Colonial Heights","Colonial Heights city",1.77356822632646e-05,1.4679802916362e-05,4.44493889517616e-05,282.394485473633,"201003.nc4"
"Goochland","Goochland County",NA,NA,NA,NA,"201003.nc4"
"Caroline","Caroline County",2.85192727460526e-05,1.50438709819615e-05,4.83582319118016e-05,281.77613394601,"201003.nc4"
"Sussex","Sussex County",3.05576602386282e-05,9.99040037186205e-06,4.44763563791639e-05,282.451026916504,"201003.nc4"
"Prince George","Prince George County",2.73344373624695e-05,1.13659281169021e-05,4.43796202489466e-05,282.372024536133,"201003.nc4"
"Dinwiddie","Dinwiddie County",3.1355795726995e-05,9.95806703940616e-06,4.63952237623744e-05,282.396865844727,"201003.nc4"
"Louisa","Louisa County",NA,NA,NA,NA,"201003.nc4"
"Charles City","Charles City County",3.17374388032476e-05,1.2489421654512e-05,4.97939830286972e-05,282.344858805339,"201003.nc4"
"New Kent","New Kent County",3.15674173180014e-05,1.49743969814153e-05,5.42089408554602e-05,282.179919433594,"201003.nc4"
"Amelia","Amelia County",NA,NA,NA,NA,"201003.nc4"
"Hopewell","Hopewell city",2.38705437709541e-05,1.35706900437071e-05,4.61128511233255e-05,282.407241821289,"201003.nc4"
"Winchester","Winchester city",NA,NA,NA,NA,"201003.nc4"
"Frederick","Frederick County",NA,NA,NA,NA,"201003.nc4"
"Culpeper","Culpeper County",NA,NA,NA,NA,"201003.nc4"
"Tazewell","Tazewell County",NA,NA,NA,NA,"201003.nc4"
"Rockingham","Rockingham County",NA,NA,NA,NA,"201003.nc4"
"Harrisonburg","Harrisonburg city",NA,NA,NA,NA,"201003.nc4"
